"customerkey","geographykey","customeralternatekey","title","fullname","birthdate","maritalstatus","gender","yearlyincome","totalchildren","numberchildrenathome","englisheducation","spanisheducation","frencheducation","englishoccupation","numbercarsowned","addressline1","addressline2","phone","datefirstpurchase","commutedistance"
13969,23,"AW00013969",NULL,"Roy Martinez","1979-02-07","S","M","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"4645 Mehaffey Way",NULL,"1 (11) 500 555-0169","2022-09-20","5-10 Miles"
13970,24,"AW00013970",NULL,"Pedro Rana","1973-10-15","S","M","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"3824 Birch Bark Rd",NULL,"1 (11) 500 555-0115","2021-07-09","0-1 Miles"
13971,25,"AW00013971",NULL,"Bianca Zhao","1973-12-05","S","F","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"4348 Lilac Circle","#6","1 (11) 500 555-0184","2021-07-27","5-10 Miles"
13972,30,"AW00013972",NULL,"Eugene Liang","1970-09-30","S","M","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"2067 Black Point Pl",NULL,"1 (11) 500 555-0194","2022-10-11","5-10 Miles"
13973,28,"AW00013973",NULL,"Bethany Shan","1969-11-30","S","F","60000.00",3,3,"Bachelors","Licenciatura","Bac + 4","Professional",2,"8751 Upland Dr.",NULL,"1 (11) 500 555-0162","2021-07-17","5-10 Miles"
13974,9,"AW00013974",NULL,"Tina Chandra","1970-03-25","M","F","60000.00",4,4,"Bachelors","Licenciatura","Bac + 4","Professional",2,"3783 Dartmouth Way",NULL,"1 (11) 500 555-0115","2021-07-18","5-10 Miles"
13975,31,"AW00013975",NULL,"Johnny Raje","1975-03-24","S","M","60000.00",4,4,"Bachelors","Licenciatura","Bac + 4","Professional",2,"3224 Pome Court",NULL,"1 (11) 500 555-0169","2021-08-23","5-10 Miles"
13976,611,"AW00013976",NULL,"Emmanuel Smith","1973-11-13","M","M","100000.00",2,0,"Bachelors","Licenciatura","Bac + 4","Management",2,"7224 Grant St.",NULL,"876-555-0114","2021-12-24","1-2 Miles"
13977,618,"AW00013977",NULL,"Alexandra Brown","1973-07-18","M","F","100000.00",2,0,"Bachelors","Licenciatura","Bac + 4","Management",3,"5627 Tanager Road",NULL,"678-555-0195","2021-11-28","0-1 Miles"
13979,633,"AW00013979",NULL,"Chloe Jenkins","1984-09-30","S","F","40000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"3775 Hilltop Dr.",NULL,"419-555-0111","2021-12-05","1-2 Miles"
13980,300,"AW00013980",NULL,"Margaret Liu","1985-03-17","S","F","30000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"5927 Diokmo Ct.",NULL,"154-555-0120","2022-04-21","5-10 Miles"
13981,31,"AW00013981",NULL,"Joy Carlson","1949-12-10","M","F","10000.00",5,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",3,"6791 Creekside Drive",NULL,"1 (11) 500 555-0149","2022-05-05","1-2 Miles"
13982,12,"AW00013982",NULL,"Clarence Chander","1949-09-18","M","M","20000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"6647 Revision Dr",NULL,"1 (11) 500 555-0165","2022-03-14","5-10 Miles"
13983,13,"AW00013983",NULL,"Logan Collins","1949-12-03","M","M","20000.00",4,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"6431 Adobe Dr.",NULL,"1 (11) 500 555-0191","2022-03-08","5-10 Miles"
13984,359,"AW00013984",NULL,"Adrian Richardson","1984-09-04","S","M","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"3930 Sony Hill Circle",NULL,"408-555-0120","2021-12-09","1-2 Miles"
13985,372,"AW00013985",NULL,"Alexis Wood","1984-10-21","M","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"8248 N. Ranchford Court",NULL,"889-555-0140","2022-04-22","1-2 Miles"
13986,372,"AW00013986",NULL,"Chloe Anderson","1985-04-23","M","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"3118 Creekside Drive",NULL,"913-555-0176","2021-01-08","5-10 Miles"
13987,52,"AW00013987",NULL,"Eduardo Collins","1984-05-04","S","M","40000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2100 Linton Terr",NULL,"100-555-0124","2022-12-24","1-2 Miles"
13988,57,"AW00013988",NULL,"Miguel White","1984-05-09","S","M","40000.00",0,0,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"1597 Vista Del Sol",NULL,"621-555-0134","2022-07-28","5-10 Miles"
13989,612,"AW00013989",NULL,"Chloe Bradley","1983-07-17","S","F","40000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"1720 Medburn St",NULL,"651-555-0113","2022-03-19","5-10 Miles"
13990,548,"AW00013990",NULL,"Stephanie Wood","1983-09-23","S","F","40000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"4619 Ricardo Drive","# 233","560-555-0193","2021-01-16","1-2 Miles"
13991,638,"AW00013991",NULL,"Jack Hayes","1983-09-05","M","M","40000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"4510 Ten Penny Lane",NULL,"534-555-0131","2022-11-02","5-10 Miles"
13992,302,"AW00013992",NULL,"Gregory Xie","1983-12-04","S","M","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"5055 Quiz St.",NULL,"560-555-0183","2021-01-04","1-2 Miles"
13993,302,"AW00013993",NULL,"Zachary Patterson","1984-02-21","M","M","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"7814 New Court",NULL,"149-555-0161","2021-01-07","5-10 Miles"
13994,18,"AW00013994",NULL,"Isaac Cook","1952-01-14","M","M","30000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"7760 Woodbury Pl.",NULL,"1 (11) 500 555-0155","2021-08-11","5-10 Miles"
13995,35,"AW00013995",NULL,"Michele Black","1952-12-07","M","F","20000.00",4,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"8202 Lion Circle",NULL,"1 (11) 500 555-0190","2022-05-15","1-2 Miles"
13996,11,"AW00013996",NULL,"Marie Perez","1958-09-04","M","F","20000.00",4,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2441 Heavenly Drive",NULL,"1 (11) 500 555-0159","2022-05-15","5-10 Miles"
13997,30,"AW00013997",NULL,"Raquel Hernandez","1952-11-20","M","F","30000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"9768 Brandywine Way",NULL,"1 (11) 500 555-0173","2021-08-07","1-2 Miles"
13998,33,"AW00013998",NULL,"Ethan Martin","1954-04-22","M","M","10000.00",2,1,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"1479 Pine Creek Way",NULL,"1 (11) 500 555-0136","2022-02-04","5-10 Miles"
13999,348,"AW00013999",NULL,"Elijah Gonzales","1984-02-14","M","M","70000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"8815 Wildberry Court",NULL,"447-555-0164","2021-01-25","5-10 Miles"
14000,536,"AW00014000",NULL,"Terry Sharma","1982-10-24","S","M","40000.00",0,0,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"6209 Willow Drive",NULL,"148-555-0148","2022-07-27","5-10 Miles"
14001,536,"AW00014001",NULL,"Hunter Hill","1983-01-23","S","M","40000.00",0,0,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"3132 Liana Lane",NULL,"889-555-0142","2022-08-08","1-2 Miles"
14002,612,"AW00014002",NULL,"Jacqueline Reed","1983-04-26","S","F","30000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"8051 Reality Dr.",NULL,"406-555-0129","2022-03-15","5-10 Miles"
14003,547,"AW00014003",NULL,"Angel Ramirez","1983-04-04","S","M","30000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"9064 Silverado Dr.",NULL,"488-555-0166","2021-01-17","1-2 Miles"
14004,314,"AW00014004",NULL,"Caitlin Kelly","1982-10-11","M","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"5936 Second Ave",NULL,"904-555-0116","2022-08-26","5-10 Miles"
14005,355,"AW00014005",NULL,"Noah Hughes","1982-11-10","M","M","70000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"5990 Curletto Drive",NULL,"811-555-0150","2021-02-23","0-1 Miles"
14006,358,"AW00014006",NULL,"Brianna Walker","1983-03-27","M","F","70000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"6701 Eagle Peak Ave.",NULL,"413-555-0174","2021-02-04","5-10 Miles"
14007,2,"AW00014007",NULL,"Rebekah Garcia","1960-08-22","M","F","10000.00",2,1,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"1019 Candy Rd.",NULL,"1 (11) 500 555-0177","2021-08-11","1-2 Miles"
14008,34,"AW00014008",NULL,"Karen Liu","1955-01-11","M","F","10000.00",2,1,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"3283 Terra Granda",NULL,"1 (11) 500 555-0146","2022-02-12","5-10 Miles"
14009,37,"AW00014009",NULL,"Brandy Prasad","1960-09-01","M","F","20000.00",2,1,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"8176 Pena",NULL,"1 (11) 500 555-0129","2022-10-14","1-2 Miles"
14010,36,"AW00014010",NULL,"Thomas Moore","1956-02-02","M","M","30000.00",3,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"658 Pecan Street",NULL,"1 (11) 500 555-0152","2021-08-12","1-2 Miles"
14011,17,"AW00014011",NULL,"Roger Shen","1956-05-07","S","M","30000.00",3,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"9873 Willow Avenue",NULL,"1 (11) 500 555-0186","2021-08-06","5-10 Miles"
14012,27,"AW00014012",NULL,"Eddie Vazquez","1972-02-05","M","M","40000.00",2,0,"Bachelors","Licenciatura","Bac + 4","Management",2,"6142 Kentucky Drive",NULL,"1 (11) 500 555-0137","2021-08-25","5-10 Miles"
14013,31,"AW00014013",NULL,"Jimmy Blanco","1962-08-07","M","M","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"8519 Crivello Ave.",NULL,"1 (11) 500 555-0173","2022-05-06","5-10 Miles"
14014,5,"AW00014014",NULL,"Leslie Serrano","1962-09-23","M","F","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"5252 Santa Fe",NULL,"1 (11) 500 555-0160","2022-05-20","1-2 Miles"
14015,39,"AW00014015",NULL,"Kurt Lal","1956-10-16","M","M","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2538 Stafford Ave",NULL,"1 (11) 500 555-0171","2022-06-04","5-10 Miles"
14016,9,"AW00014016","Ms.","Mary Sandidge","1956-07-13","M","M","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"9390 Janin Pl.",NULL,"113-555-0100","2022-07-23","1-2 Miles"
14017,359,"AW00014017",NULL,"Chloe Rodriguez","1986-05-22","S","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"7806 Reliez Valley Ct.",NULL,"325-555-0134","2021-01-29","1-2 Miles"
14018,32,"AW00014018",NULL,"Nina Rai","1957-07-01","M","F","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"6453 Coldwater Drive",NULL,"1 (11) 500 555-0163","2022-10-05","5-10 Miles"
14019,33,"AW00014019",NULL,"Kathleen Romero","1958-01-18","M","F","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"3651 Willow Lake Rd",NULL,"1 (11) 500 555-0113","2022-07-29","5-10 Miles"
14020,38,"AW00014020",NULL,"Kristine Dominguez","1959-12-18","S","F","80000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"8761 Dancing Court",NULL,"1 (11) 500 555-0184","2021-08-27","1-2 Miles"
14021,623,"AW00014021",NULL,"Michelle Richardson","1981-05-01","S","F","30000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"2676 Santa Fe Street",NULL,"590-555-0195","2022-05-10","5-10 Miles"
14022,627,"AW00014022",NULL,"Taylor Lee","1980-12-02","S","F","30000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"7413 Flora Ave.",NULL,"626-555-0118","2021-02-11","5-10 Miles"
14023,311,"AW00014023",NULL,"Beth Carlson","1981-04-13","S","F","30000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2444 Piedmont",NULL,"237-555-0170","2021-02-17","5-10 Miles"
14024,348,"AW00014024",NULL,"Hannah Moore","1981-06-21","S","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"923 Hill Drive",NULL,"141-555-0124","2021-02-23","1-2 Miles"
14025,637,"AW00014025",NULL,"Robert Alexander","1985-03-14","M","M","30000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"4286 NE 3rd Court",NULL,"318-555-0116","2021-01-29","5-10 Miles"
14026,635,"AW00014026",NULL,"Chloe Butler","1979-10-29","S","F","30000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2574 Napa",NULL,"685-555-0116","2021-02-11","5-10 Miles"
14027,642,"AW00014027",NULL,"Carlos Perez","1978-11-10","M","M","70000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",2,"281 Wesley Court",NULL,"547-555-0191","2022-08-07","0-1 Miles"
14028,609,"AW00014028",NULL,"Patricia Srini","1979-01-09","S","F","70000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",2,"3035 Blackfield Dr.",NULL,"894-555-0142","2022-07-19","0-1 Miles"
14029,542,"AW00014029",NULL,"Christina Morris","1982-02-19","M","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",2,"6680 Brookdale Dr.",NULL,"193-555-0194","2023-01-28","5-10 Miles"
14030,40,"AW00014030",NULL,"Lawrence Sanz","1961-04-19","S","M","80000.00",2,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"3841 Turner Dr.",NULL,"1 (11) 500 555-0161","2021-08-24","1-2 Miles"
14031,10,"AW00014031",NULL,"Ruben Suarez","1966-02-13","M","M","80000.00",2,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2837 Hacienda Drive",NULL,"1 (11) 500 555-0115","2021-08-18","5-10 Miles"
14032,15,"AW00014032",NULL,"Arthur Chandra","1961-07-06","M","M","70000.00",2,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"1874 Orchid Ct",NULL,"1 (11) 500 555-0196","2021-08-04","1-2 Miles"
14033,29,"AW00014033",NULL,"Melinda Torres","1968-02-16","S","F","80000.00",2,0,"High School","Educación secundaria","Bac + 2","Professional",2,"2895 Churchill Dr",NULL,"1 (11) 500 555-0126","2021-08-17","5-10 Miles"
14034,12,"AW00014034",NULL,"Dennis Liang","1969-04-04","S","M","130000.00",0,1,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",2,"3155 Meadowbrook Court",NULL,"1 (11) 500 555-0172","2022-07-23","0-1 Miles"
14035,329,"AW00014035",NULL,"Hunter Hughes","1979-01-30","S","M","80000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Management",1,"7669 Willow Lake Rd",NULL,"693-555-0168","2022-07-27","2-5 Miles"
14036,546,"AW00014036",NULL,"Amanda Torres","1979-12-25","M","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",2,"6329 El Rancho Drive",NULL,"159-555-0111","2021-03-19","5-10 Miles"
14037,299,"AW00014037",NULL,"Lydia Sara","1979-10-20","M","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",2,"5613 East Narrows Drive",NULL,"183-555-0132","2021-03-23","5-10 Miles"
14038,18,"AW00014038",NULL,"Madison Foster","1965-05-21","M","F","130000.00",0,1,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",3,"5890 Yosemite Circle",NULL,"1 (11) 500 555-0146","2021-08-10","0-1 Miles"
14039,39,"AW00014039",NULL,"Nathan Wang","1970-09-15","S","M","160000.00",0,0,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",3,"7070 East Avenue",NULL,"1 (11) 500 555-0166","2021-08-14","0-1 Miles"
14040,316,"AW00014040",NULL,"Stephanie Morris","1968-05-08","S","F","80000.00",2,0,"Partial High School","Educación secundaria (en curso)","Niveau bac","Skilled Manual",2,"2062 Dos Encinas",NULL,"979-555-0161","2022-06-12","1-2 Miles"
14041,70,"AW00014041",NULL,"Danielle Bell","1968-03-30","S","F","80000.00",2,0,"Partial High School","Educación secundaria (en curso)","Niveau bac","Skilled Manual",2,"8092 West Las Vegas",NULL,"390-555-0199","2022-05-04","5-10 Miles"
14042,648,"AW00014042",NULL,"Stephanie Adams","1962-07-01","M","F","60000.00",2,0,"High School","Educación secundaria","Bac + 2","Professional",2,"6516 Pine Tree Drive",NULL,"492-555-0112","2022-12-12","1-2 Miles"
14043,547,"AW00014043",NULL,"Mary Gonzalez","1962-08-28","S","F","60000.00",2,0,"High School","Educación secundaria","Bac + 2","Professional",2,"4373 Sherry Circle",NULL,"385-555-0161","2022-03-05","5-10 Miles"
14044,348,"AW00014044",NULL,"Thomas Wright","1963-01-11","M","M","70000.00",2,1,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",0,"2924 Michigan Blvd.",NULL,"545-555-0114","2021-03-24","0-1 Miles"
14045,20,"AW00014045",NULL,"Tanya Ramos","1972-10-02","M","F","80000.00",5,5,"Bachelors","Licenciatura","Bac + 4","Professional",4,"6088 Clark Creek Rd",NULL,"1 (11) 500 555-0186","2021-08-10","0-1 Miles"
14046,36,"AW00014046",NULL,"Cheryl Sanz","1972-12-01","M","F","90000.00",4,4,"Bachelors","Licenciatura","Bac + 4","Professional",0,"9030 Louisiana Dr.",NULL,"1 (11) 500 555-0113","2021-08-08","1-2 Miles"
14047,19,"AW00014047",NULL,"Linda Alvarez","1968-04-13","S","F","70000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"4288 Hacienda",NULL,"1 (11) 500 555-0112","2021-07-31","0-1 Miles"
14048,32,"AW00014048",NULL,"Wyatt Mitchell","1967-10-01","M","M","60000.00",1,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"4794 Kim Court",NULL,"1 (11) 500 555-0167","2021-08-17","0-1 Miles"
14049,23,"AW00014049",NULL,"Gina Hernandez","1968-03-06","M","F","60000.00",1,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"2146 Twin View Drive",NULL,"1 (11) 500 555-0161","2021-07-31","5-10 Miles"
14050,28,"AW00014050",NULL,"Manuel Lopez","1971-11-13","S","M","100000.00",0,0,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",1,"2396 Ancona Ct.",NULL,"1 (11) 500 555-0146","2021-08-08","0-1 Miles"
14051,31,"AW00014051",NULL,"Nathaniel Rivera","1982-10-08","S","M","100000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"2910 Boyd",NULL,"1 (11) 500 555-0190","2021-08-08","2-5 Miles"
14052,26,"AW00014052",NULL,"Jorge Ma","1977-06-22","S","M","110000.00",0,0,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",2,"8702 Orchard View Ave",NULL,"1 (11) 500 555-0183","2022-01-30","1-2 Miles"
14053,17,"AW00014053",NULL,"Tamara Huang","1977-09-13","S","F","110000.00",0,0,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",2,"7535 Roanoke Drive",NULL,"1 (11) 500 555-0193","2022-02-06","0-1 Miles"
14054,40,"AW00014054",NULL,"Reginald Martin","1965-10-08","M","M","60000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"4091 Silver Oaks Place",NULL,"1 (11) 500 555-0113","2022-11-29","5-10 Miles"
14055,14,"AW00014055",NULL,"Alejandro Kumar","1965-12-31","M","M","60000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"1689 Boxwood Ln.",NULL,"1 (11) 500 555-0133","2021-08-09","0-1 Miles"
14056,32,"AW00014056",NULL,"Nelson Sanz","1965-10-25","M","M","60000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"7219 Canyon Way",NULL,"1 (11) 500 555-0161","2022-05-09","5-10 Miles"
14057,11,"AW00014057",NULL,"Lance Alonso","1965-05-23","M","M","90000.00",1,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"9602 C St.",NULL,"1 (11) 500 555-0115","2022-09-04","5-10 Miles"
14058,20,"AW00014058",NULL,"Johnny Anand","1976-06-10","S","M","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"9318 Hawkridge Terrace",NULL,"1 (11) 500 555-0132","2021-08-06","5-10 Miles"
14059,35,"AW00014059",NULL,"Rodney Ramos","1976-12-18","M","M","80000.00",5,5,"Bachelors","Licenciatura","Bac + 4","Professional",4,"5566 Brook Way",NULL,"1 (11) 500 555-0186","2022-03-17","1-2 Miles"
14060,35,"AW00014060",NULL,"Cedric Sharma","1971-05-27","M","M","80000.00",5,5,"Bachelors","Licenciatura","Bac + 4","Professional",4,"9704 Pineknoll",NULL,"1 (11) 500 555-0111","2022-03-13","1-2 Miles"
14061,17,"AW00014061",NULL,"Naomi Torres","1970-12-30","M","F","80000.00",5,5,"Bachelors","Licenciatura","Bac + 4","Professional",4,"6374 Las Palmas",NULL,"1 (11) 500 555-0115","2022-02-27","1-2 Miles"
14062,25,"AW00014062",NULL,"Madison Clark","1970-01-15","S","F","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"2203 Palm Ave.",NULL,"1 (11) 500 555-0114","2021-08-19","5-10 Miles"
14063,8,"AW00014063","Mr.","Patrick Sands","1975-08-05","S","F","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"9788 Thors Bay Road",NULL,"153-555-0100","2021-08-16","0-1 Miles"
14064,27,"AW00014064",NULL,"Stacey Li","1969-12-07","S","F","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"666 Lafayette Street",NULL,"1 (11) 500 555-0124","2021-08-27","0-1 Miles"
14065,23,"AW00014065",NULL,"Samuel Diaz","1969-01-23","S","M","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"442 West Cliff Place",NULL,"1 (11) 500 555-0127","2021-08-06","5-10 Miles"
14066,34,"AW00014066",NULL,"Melody Jimenez","1968-05-22","S","F","60000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"3888 Arnold Drive",NULL,"1 (11) 500 555-0145","2021-08-21","5-10 Miles"
14067,35,"AW00014067",NULL,"Larry Sanz","1967-10-18","S","M","70000.00",5,4,"Bachelors","Licenciatura","Bac + 4","Professional",2,"8790 Lay Brooke Way",NULL,"1 (11) 500 555-0172","2022-04-11","5-10 Miles"
14068,12,"AW00014068",NULL,"Brent McDonald","1967-12-02","M","M","70000.00",5,4,"Bachelors","Licenciatura","Bac + 4","Professional",2,"4566 Magnolia Ave.",NULL,"1 (11) 500 555-0155","2022-05-02","0-1 Miles"
14069,12,"AW00014069",NULL,"Joy Serrano","1973-02-17","M","F","70000.00",5,4,"Bachelors","Licenciatura","Bac + 4","Professional",2,"2333 Fillet Ave",NULL,"1 (11) 500 555-0157","2022-08-27","0-1 Miles"
14070,38,"AW00014070",NULL,"Ricky Alonso","1964-05-09","S","M","90000.00",2,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"946 Santa Barbara Rd.",NULL,"1 (11) 500 555-0178","2021-08-17","2-5 Miles"
14071,26,"AW00014071",NULL,"Jack Li","1964-05-26","S","M","90000.00",2,0,"Bachelors","Licenciatura","Bac + 4","Management",1,"746 Cast Street",NULL,"1 (11) 500 555-0150","2021-08-13","5-10 Miles"
14072,21,"AW00014072",NULL,"Allen Smith","1962-09-21","M","M","80000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"4458 Pine St.",NULL,"1 (11) 500 555-0113","2022-07-23","5-10 Miles"
14073,34,"AW00014073",NULL,"Gabriel Alexander","1940-10-24","M","M","30000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"1247 Violet Ct",NULL,"1 (11) 500 555-0112","2022-02-13","0-1 Miles"
14074,23,"AW00014074",NULL,"Barbara Xu","1954-12-05","M","F","10000.00",2,1,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"P.O. Box 2851",NULL,"1 (11) 500 555-0125","2022-05-12","0-1 Miles"
14075,331,"AW00014075",NULL,"Robert Harris","1982-05-20","S","M","30000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"1393 Winterberry Ct.",NULL,"311-555-0184","2022-04-23","5-10 Miles"
14076,536,"AW00014076",NULL,"Justin Ross","1981-08-26","M","M","30000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"6912 Hamilton Avenue",NULL,"605-555-0145","2022-05-03","5-10 Miles"
14077,62,"AW00014077",NULL,"Bryan Townsend","1981-10-11","S","M","30000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"4997 North Civic Dr.",NULL,"478-555-0190","2022-08-01","5-10 Miles"
14078,50,"AW00014078",NULL,"Ryan Alexander","1981-05-22","M","M","40000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"5244 Black Walnut Ct.",NULL,"120-555-0115","2022-01-18","5-10 Miles"
14079,53,"AW00014079",NULL,"Lauren Price","1981-09-11","S","F","40000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2812 East Lake Court",NULL,"269-555-0123","2022-01-28","0-1 Miles"
14080,536,"AW00014080",NULL,"Cynthia Srini","1981-11-16","S","F","40000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"274 Diane Ct",NULL,"774-555-0185","2021-03-18","5-10 Miles"
14081,348,"AW00014081",NULL,"Nicole Butler","1985-10-04","M","F","30000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"1996 Sand Pointe Lane",NULL,"946-555-0142","2021-03-22","5-10 Miles"
14082,536,"AW00014082",NULL,"Johnny Jai","1985-11-03","S","M","30000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"1289 Mt. Dias Blv.",NULL,"861-555-0113","2022-12-14","0-1 Miles"
14083,623,"AW00014083",NULL,"Nathan Lopez","1986-05-03","M","M","30000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"748 Whitehall Drive",NULL,"239-555-0122","2021-03-12","5-10 Miles"
14084,50,"AW00014084",NULL,"Robert Lal","1985-11-03","S","M","30000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"1289 Mt. Dias Blv.",NULL,"130-555-0176","2022-05-04","0-1 Miles"
